book,author,publication date,language,book publisher,ISBN,BNB id
World politics : international relations and globalisation in the 21st century,Jeffrey Haynes,2023,English,SAGE,1529613827,GBC315766
World music : a global journey,Terry E. Miller,2023,English,Routledge,1000909531/1000909517,GBC397766
Reflections of deviance,A. J. Cross,2023,English,Severn House,1448308019,GBC2M0828
Reduction theory and arithmetic groups,Joachim Schwermer,2023,English,Cambridge University Press,1108832038,GBC2F3287
Embracing technology in the early years : a practitioner's guide,Fiona Joines,2023,English,Routledge,1000932218,GBC3C1738
A game of secrets,Zuri Day,2023,English,Mills&Boon,8930455,GBC2K1871
A day in the life of Natalie Numbat,D. G. Lloyd,2023,English,Austin Macauley Publishers,1398449336,GBC3D2676
"Albert A. Michelson and his interferometer : lord of the spinning worlds, master of light",A. A. Lucas,2023,English,Cambridge Scholars Publishing,1527504417,GBC3D8074
Atalanta : the mesmerising story of the only female Argonaut,Jennifer Saint,2023,English,Wildfire,1472292186,GBC327754
"Bristol : danger, death & dark deeds",Cynthia Stiles,2023,English,Amberley Publishing,1398105355,GBC327600
And still the earth turns,Muhammad Ali Bandial,2023,English,The Book Guild Publishing,1915853653,GBC372362
Goodnight Mr Stone,Denise Lunt,2023,English,Grosvenor House Publishing,1803814285,GBC346032
Find your own path : a life coach's guide to changing your life,Fiona Buckland,2023,English,Michael Joseph,241587317,GBC304022
Fritz and Kurt,Jeremy Dronfield,2023,English,Puffin,241565759,GBC2K1944
Mediterranean timescapes : chronological age and cultural practice in the Roman empire,Ray Laurence,2023,English,Routledge,1351973854,GBC341336
Murder make$ the world go round,Clive Graham Lord,2023,English,Austin Macauley Publishers,1035816859,GBC3D2623
New institutional economics as situational logic ; a phenomenological perspective,Piet de Vries,2023,English,Routledge,1317653639,GBC3B7795
NSU Ro80 : the complete story,Martin Buckley,2023,English,The Crowood Press,719841750,GBC2K6209
Quantum phases of matter,Subir Sachdev,2023,English,Cambridge University Press,1009212694,GBC339244
Perloff's clinical recognition of congenital heart disease,Ariane J. Marelli,2023,English,North-Holland Biomedical Press,323547826,GBC2J1661
Ootlin : a memoir,Jenni Fagan,2023,English,PenguinBooks,1804942147,GBC3A8419
